Drug_Name,Indication
Difelikefalin,"Difelikefalin is indicated for the treatment of moderate-to-severe pruritus associated with chronic kidney disease (CKD-aP; uremic pruritus) in adults undergoing hemodialysis.[L36395,L41660]"
Difenoxin,"Motofen(R) is a combination of atropine, an anticholinergic drug, and difenoxin, an antidiarrheal drug. It has been used in many countries for many years as a second line opioid-agonist antidiarrheal, which exists an intermediate between loperamide and paragoric. [2] Diarrhea which is a result of cyclic or diarrhea predominant Inflammatory Bowel Syndrome may not be treated effectively with difenoxin, diphenoxylate, or loperamide. As such, diarrhea and cramping which does not respond to non-centrally acting derivatives or belladonna derivatives such as atropine are often treated with conservative doses of codeine. In patients with acute ulcerative colitis, as induction of toxic megacolon is possible, and thus use of Motofen(R) is cautioned. Motofen(R) has been assigned pregnancy category C by the FDA, and is to be used only when the potential benefits outweigh the potential risk to the fetus. The safety of use during lactation is unknown and thus not recommended."
Diflorasone,For relief of the inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.
Diflunisal,"For symptomatic treatment of mild to moderate pain accompanied by inflammation (e.g. musculoskeletal trauma, post-dental extraction, post-episiotomy), osteoarthritis, and rheumatoid arthritis."
Difluocortolone,"Difluocortolone is used as a topical treatment of the symptoms of inflammatory skin disorders like eczema, seborrheic eczema, lichen planus and psoriasis. All these disorders present as a common characteristic the occurrence of symptoms as itching, swelling, redness and scaling.[L1083]"
Difluprednate,For the treatment of inflammation and pain associated with ocular surgery.
Digitoxin,"For the treatment and management of congestive cardiac insufficiency, arrhythmias and heart failure."
Digoxin,"Digoxin is indicated in the following conditions: 1) For the treatment of mild to moderate heart failure in adult patients.[L9143] 2) To increase myocardial contraction in children diagnosed with heart failure.[L9143] 3) To maintain control ventricular rate in adult patients diagnosed with chronic atrial fibrillation.[L9143] In adults with heart failure, when it is clinically possible, digoxin should be administered in conjunction with a diuretic and an angiotensin-converting enzyme (ACE) inhibitor for optimum effects.[L9143]"
Digoxin Immune Fab (Ovine),For treatment of digitoxin overdose or digitalis glycoside toxicity.
Dihydro-alpha-ergocryptine,"Alpha-dihydroergocryptine has been studied for the early treatment of Parkinson disease[A32980] as well as for its use in migraine prophylaxis,[A32983] treatment of low blood pressure and peripheral vascular disorder. To know more about the ergoloid mesylate mixture and its uses please visit [DB01049]."
Dihydrocodeine,"Dihydrocodeine is used for the treatment of moderate to severe pain, including post-operative and dental pain [2]. It can also be used to treat chronic pain [1], breathlessness and coughing. In heroin addicts, dihydrocodeine has been used as a substitute drug, in doses up to 2500mg/day to treat addiction. [http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2014322/]"
Dihydroergocornine,To know more about the approved indications please visit [DB01049]
Dihydroergocristine,"Dihydroergocristine is used in some countries such as Brasil as a single agent for the treatment of cerebral and peripheric vascular events.[L2649] To know more about dihydroergocristine as part of the ergoloid mesylate mixture, please visit [DB01049]."
Dihydroergotamine,"Dihydroergotamine (DHE) in all formulations is indicated for the acute treatment of migraine with or without aura in adults.[L38459, L38464, L38469] As an injection, DHE is also indicated for the acute treatment of cluster headache episodes.[L38459] DHE is not indicated for migraine prevention or the management of hemiplegic or basilar migraine.[L38459, L38464, L38469]"
Dihydrotachysterol,"Used for the prevention and treatment of rickets or osteomalacia, and to manage hypocalcemia associated with hypoparathyroidism or pseudohypoparathyroidism. Also used for the treatment of vitamin D dependent rickets, rickets or osteomalacia secondary to long-term high dose anticonvulsant therapy, early renal osteodystrophy, osteoporosis (in conjunction with calcium), and hypophosphatemia associated with Fanconi syndrome (with treatment of acidosis)."
Diiodohydroxyquinoline,Used in the treatment of amoebiasis.
Diloxanide furoate,"Diloxanide is used alone as a primary agent in the treatment of asymptomatic (cyst passers) intestinal amebiasis caused by Entamoeba histolytica. Diloxanide may also be used concurrently, or sequentially, with other agents such as the nitroimidazoles (eg. metronidazole) in the treatment of invasive or extraintestinal forms of amebiasis."
Diltiazem,"**Oral** Indicated for the management of hypertension, to lower blood pressure, alone or in combination with other antihypertensive agents.[L10556] Indicated for use to improve exercise tolerance in patients with chronic stable angina.[L10556] Indicated for the management of variant angina (Prinzmetal's angina).[L6298] **Intravenous** Indicated for the short-term management of atrial fibrillation or atrial flutter for temporary control of rapid ventricular rate.[L6292] Indicated for the rapid conversion of paroxysmal supraventricular tachycardias (PSVT) to sinus rhythm. This includes AV nodal reentrant tachycardias and reciprocating tachycardias associated with an extranodal accessory pathway such as the WPW syndrome or short PR syndrome.[L6292] **Off-label** Indicated for off-label uses in anal fissures (as topical formulation), migraine prophylaxis, cramps in lower leg related to rest, pulmonary hypertension,[L6289] idiopathic dilated cardiomyopathy, and proteinuria associated with diabetic nephropathy.[L6298]"
Dimenhydrinate,"Dimenhydrinate is indicated for the prevention and treatment of nausea, vomiting, or vertigo of motion sickness.[L32980,L32985]"
Dimercaprol,"For the treatment of arsenic, gold and mercury poisoning. Indicated in acute lead poisoning when used concomitantly with edetate calcium disodium (DB00974)."
Dimethicone,"Dimethicone is a colorless liquid with both cosmetic and therapeutic uses. It is used in topical creams and ointments to help distribute the active ingredients. Dimethicone is used as an anti-foaming agent, a hair and skin conditioner, and in the treatment of head lice and, as an anti-bloating/anti-flatulence agent [L1765], [L1772]."
Dimethicone 410,"Dimethicone is approved as a transdermal drug delivery system. Dimethicone 410 is part of the simethicone element in Dow Corning Q7-2242 LVA which is an antifoam.[L2163, L2166] Some OTC's containing dimethicone are used to relieve the discomfort of infant gas caused by air swallowing or certain formulas or food,[L2170] to prevent and help rash, to protect and relieve chapped or cracked skin[L2171] and as an anti-lice agent.[L1769]"
Dimethyl fumarate,"Dimethyl fumarate is indicated for the treatment of relapsing forms of multiple sclerosis (MS), including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults.[L43752,L45668,L49831]"
Dimethyl sulfoxide,For the symptomatic relief of patients with interstitial cystitis.
Dimetindene,"Indicated as symptomatic treatment of allergic reactions: urticaria, allergies of the upper respiratory tract such as hey fever and perennial rhinitis, food and drug allergies; pruritus of various origins, except pruritus due to cholestasis; insect bites. Dimethindene is also indicated for pruritus in eruptive skin diseases such as chicken-pox. Dimethindene can also be used as an adjuvant in eczema and other pruriginous dermatoses of allergic origin."
Dinoprost tromethamine,Used for aborting second-trimester pregnancy (between the twelfth to eighteenth week of gestation) and in incomplete abortion or for therapeutic abortion in cases of intrauterine fetal death and congenital abnormalities incompatible with life. Also used at low-doses for medically indicated induction of labor at term. Also injected intra-arterially for use as a vasodilator to assist in angiography.
Dinoprostone,"For the termination of pregnancy during the second trimester (from the 12th through the 20th gestational week as calculated from the first day of the last normal menstrual period), as well as for evacuation of the uterine contents in the management of missed abortion or intrauterine fetal death up to 28 weeks of gestational age as calculated from the first day of the last normal menstrual period. Also used in the management of nonmetastatic gestational trophoblastic disease (benign hydatidiform mole). Other indications include improving the cervical inducibility (cervical ""ripening"") in pregnant women at or near term with a medical or obstetrical need for labor induction, and the management of postpartum hemorrhage."
Dinutuximab,"Dinutuximab is indicated, in combination with granulocyte-macrophage colony-stimulating factor (GM-CSF), interleukin-2 (IL-2), and 13-cis-retinoic acid (RA), for the treatment of pediatric patients with high-risk neuroblastoma who achieve at least a partial response to prior first-line multiagent, multimodality therapy. Despite a high clinical response seen after first-line treatment, the complete eradication of neuroblastoma is rarely achieved and the majority of patients with advanced disease suffer a relapse. Current strategies for treatment include immunotherapy with drugs such as dinutuximab to target surviving neuroblastoma cells and to prevent relapse."
Diosmin,"Diosmin is used over-the-counter alone or with ingredients such as [hesperidin] and [diosmetin] to support vein and capillary function.[L32823,L32848]"
Dioxybenzone,Indicated for use as an active sunscreen agent.
Diphemanil,"Used in the treatment of peptic ulcer, gastric hyperacidity, and hypermotility in gastritis and pylorospasm, and in the treatment of hyperhidrosis (excessive perspiration)."
Diphenhydramine,"Diphenhydramine is a first-generation histamine H1 receptor antagonist (H1 antihistamine) that is widely available as a non-prescription, over-the-counter (OTC) medication. As an OTC medication, diphenhydramine is typically formulated as tablets and creams indicated for use in treating sneezing, runny nose, itchy/watery eyes, itching of nose or throat, insomnia, pruritis, urticaria, insect bites/stings, allergic rashes, and nausea [L5263, L5266, L5269, F3379, A174541]. Additionally, when the use of oral diphenhydramine is impractical, there are also prescription-only formulations such as diphenhydramine injection products that are effective in adults and pediatric patients (other than premature infants and neonates) for: i) the amelioration of allergic reactions to blood or plasma, in anaphylaxis as an adjunct to epinephrine and other standard measures after acute allergic reaction symptoms have been controlled, and for other uncomplicated allergic conditions of the immediate type when oral therapy is impossible or contraindicated [F3352]; ii) the active treatment of motion sickness [F3352]; and iii) use in parkinsonism when oral therapy is impossible or contraindicated, as follows: parkinsonism in the elderly who are unable to tolerate more potent agents; mild cases of parkinsonism in other age groups, and in other cases of parkinsonism in combination with centrally acting anticholinergic agents [F3352]."
Diphenidol,"For use in the prevention and symptomatic treatment of peripheral (labyrinthine) vertigo and associated nausea and vomiting that occur in such conditions as Meniere's disease and surgery of the middle and inner ear. Also for the control of nausea and vomiting associated with postoperative states, malignant neoplasms, labyrinthine disturbances, antineoplastic agent therapy, radiation sickness, and infectious diseases."
Diphenoxylate,For as adjunctive therapy in the management of diarrhea
Diphenylguanidine,Diphenylguanidine is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6 years of age and older.
Diphenylpyraline,"For use in the treatment of allergic rhinitis, hay fever, and allergic skin disorders."
Dipivefrin,Dipivefrin is a prodrug which is used as initial therapy for the control of intraocular pressure in chronic open-angle glaucoma.
Dipotassium phosphate,"Dipotassium phosphate is used in imitation dairy creamers, dry powder beverages, mineral supplements, and starter cultures as an additive. It is used in non-dairy creamers to prevent coagulation. Dipotassium phosphate is also used to make buffer solutions and it is used in the production of trypticase soy agar which is used to make agar plates for culturing bacteria."
Dipyridamole,For as an adjunct to coumarin anticoagulants in the prevention of postoperative thromboembolic complications of cardiac valve replacement and also used in prevention of angina.
Dipyrithione,Scalp dandruff [L2610]
Diroximel fumarate,"Diroximel fumarate is indicated for the treatment of relapsing forms of multiple sclerosis (MS) in adults; specifically active secondary progressive disease and clinically isolated syndrome, as well as relapsing-remitting MS.[L9623,L9629,L9632,L45305]"
Disopyramide,"For the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, ventricular pre-excitation and cardiac dysrhythmias. It is a Class Ia antiarrhythmic drug."
Disulfiram,For the treatment and management of chronic alcoholism
Ditiocarb zinc,Ditiocarb Zinc is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6 years of age and older.
Dobutamine,Indicated when parenteral therapy is necessary for inotropic support in the short-term treatment of patients with cardiac decompensation due to depressed contractility resulting either from organic heart disease or from cardiac surgical procedures.
Docetaxel,"Docetaxel is indicated as a single agent for the treatment of locally advanced or metastatic breast cancer after chemotherapy failure; and with doxorubicin and cyclophosphamide as adjuvant treatment of operable node-positive BC. It is also indicated as a single agent for locally advanced or metastatic non-small cell lung cancer (NSCLC) after platinum therapy failure; and with cisplatin for unresectable, locally advanced or metastatic untreated NSCLC. For the treatment of metastatic castration-resistant prostate cancer, docetaxel is indicated with prednisone. Docetaxel is also indicated with cisplatin and fluorouracil for untreated, advanced gastric adenocarcinoma, including the gastroesophageal junction, and with cisplatin and fluorouracil for induction treatment of locally advanced squamous cell carcinoma of the head and neck (SCCHN).[L46466]"
Doconexent,Used as a high-docosahexaenoic acid (DHA) oral supplement.
Docosanol,For the topical treatment of recurrent oral-facial herpes simplex episodes (cold sores or fever blisters).
Docusate,"Indicated for the treatment of constipation associated with dry, hard stools or opioid induced constipation[A176984]. Though recently, pressure has been building to end the use of docusate over concerns of efficacy[A176972,A176987,L5912]."
Dofetilide,For the maintenance of normal sinus rhythm (delay in time to recurrence of atrial fibrillation/atrial flutter [AF/AFl]) in patients with atrial fibrillation/atrial flutter of greater than one week duration who have been converted to normal sinus rhythm
Dolasetron,"For the prevention of nausea and vomiting associated with emetogenic cancer chemotherapy, including initial and repeat courses of chemotherapy. Also used for the prevention of postoperative nausea and vomiting. This drug can be used intravenously for the treatment of postoperative nausea and vomiting."
Dolutegravir,"Dolutegravir is indicated in combination with other antiretroviral agents for the treatment of patients with HIV-1 infection that comply with the characteristics of being adults or children aged 12 years and older and present at least a weight of 40 kg.[A7520] The FDA combination therapy approval of dolutegravir and [rilpivirine] is indicated for adults with HIV-1 infections whose virus is currently suppressed (< 50 copies/ml) on a stable regimen for at least six months, without history of treatment failure and no known substitutions associated to resistance to any of the two components of the therapy.[L1031] Dolutegravir is available in combination with [lamivudine] and [abacavir] for the treatment of adult and pediatric patients with HIV-1 who weigh ≥10kg.[L41365] It is also available in a two-drug, single tablet regimen with lamivudine for patients ≥12 years of age and weighing at 25 kg.[L51469]"
Domiphen,"Anti-infective (topical), it is used for the treatment of Acute Infectious Dental Diseases and other conditions."
Domperidone,"For management of dyspepsia, heartburn, epigastric pain, nausea, and vomiting."
Donanemab,"Donanemab is indicated for the treatment of Alzheimer’s disease. This drug treatment is initiated in patients with mild cognitive impairment or mild dementia stage of disease, the population in which treatment was initiated in the clinical trials.[L50978]"
Donepezil,"Donepezil, administered orally[L7916] or via transdermal delivery system,[L41125] is indicated for the treatment of dementia of the Alzheimer's type. It is also available as an extended-release capsule in combination with [memantine] for the treatment of moderate-to-severe dementia of the Alzheimer's type in patients previously stabilized on 10mg of donepezil hydrochloride once daily.[L7937] Off-label uses include the management of vascular dementia, Parkinson's Disease-associated dementia, and Lewy body dementia, amongst others.[A182333,T668]"
Donislecel,Donislecel-jujn is an allogeneic pancreatic islet cellular therapy indicated for the treatment of adults with Type 1 diabetes who are unable to approach target HbA1c because of current repeated episodes of severe hypoglycemia despite intensive diabetes management and education. Use donislecel-jujn in conjunction with concomitant immunosuppression.[L47166]
Dopamine,"For the correction of hemodynamic imbalances present in the shock syndrome due to myocardial infarction, trauma, endotoxic septicemia, open-heart surgery, renal failure, and chronic cardiac decompensation as in congestive failure"
Doravirine,"Doravirine is indicated, in combination with other antiretroviral agents, for the treatment of HIV-1 infection in adult patients with no prior antiretroviral treatment history.[L12729] It is also indicated to replace the current antiretroviral regimen in those who are virologically suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral regimen with no history of treatment failure and no known substitutions associated with resistance to doravirine.[L12729]"
Doripenem,"Doripenem is indicated in the treatment of complicated intra-abdominal infections and complicated urinary tract infections, including pyelonephritis, caused by designated susceptible bacteria."
Dornase alfa,Used as adjunct therapy in the treatment of cystic fibrosis.
Dorzolamide,Dorzolamide is indicated for the management of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.[L11377] It can also be used in combination with [timolol] for the same indication in patients who are insufficiently responsive to ophthalmic beta-blockers.[L11380] Its pre-operative use was also investigated to prevent elevated intraocular pressure after neodynium yttrium aluminum garnet laser posterior capsulotomy.[A190183]
Dostarlimab,"Dostarlimab is indicated for the treatment of adult patients with mismatch repair deficient (dMMR) recurrent or advanced endometrial cancer that has progressed despite ongoing or prior treatment with a platinum-containing chemotherapy regimen. It is used as monotherapy or in combination with [carboplatin] and [paclitaxel].[L33320, L47641, L50041, L50046, L51229] It is also indicated for the treatment of dMMR recurrent or advanced solid tumors in adults, as determined by an FDA-approved test, that have progressed on or following prior treatment and in patients who have no satisfactory alternative treatment options. This indication is approved under accelerated approval, and continued approval for this indication may be contingent upon verification and description of and description of clinical benefit in confirmatory trials.[L45156]"
Dosulepin,"Indicated in the treatment of symptoms of depressive illness, especially where an anti-anxiety effect is required."
Dotatate gallium Ga-68,Dotatate gallium 68 is one of the most prominent radiopharmaceuticals used in imaging with positron emission tomography. It binds to the somatostatin-2 receptor which is usually overexpressed in many neuroendocrine tumors in both adult and pediatric patients.[A31362] The neuroendocrine tumors are bening or malignant tumors produced in the hormone producing cells of the neuroendocrine system.[L1048]
Doxacurium,"Used to provide skeletal muscle relaxation as an adjunct to general anesthesia, for endotracheal intubation or to facilitate mechanical ventilation."
Doxapram,For use as a temporary measure in hospitalized patients with acute respiratory insufficiency superimposed on chronic obstructive pulmonary disease.
Doxazosin,"Doxazosin is indicated to treat the symptoms of benign prostatic hypertrophy, which may include urinary frequency, urgency, and nocturia, among other symptoms. In addition, doxazosin is indicated alone or in combination with various antihypertensive agents for the management of hypertension.[L7282] Off-label uses of doxazosin include the treatment of pediatric hypertension[A180634] and the treatment of ureteric calculi.[A180637]"
Doxepin,"Oral doxepin is approved for the following indications: - Treatment of depression and/or anxiety.[A177163] - Treatment of depression and/or anxiety associated with different conditions, including alcoholism, organic disease and manic-depressive disorders.[T249] - Treatment of psychotic depressive disorders with associated anxiety.[T249] - Treatment of involutional depression.[T249] - Treatment of manic-depressive disorder.[T249] - Treatment of insomnia characterized by difficulties with sleep maintenance.[A177163] Topical doxepin is also approved for short-term (up to 8 days) management of moderate pruritus in adult patients with atopic dermatitis, pruritus or lichen simplex chronicus.[T249] Off-label, doxepin is used topically for the management of neuropathic pain.[A177172] Depression is a common medical illness that causes feelings of sadness and or loss of interest in prior enjoyable activities. This condition can lead to emotional and physical disturbances that can decrease the ability of a person to function in a regular environment.[L5980] Anxiety is a normal reaction of the body towards a normal danger. When the anxious state is exacerbated or appears on situations without danger, it is defined as an anxiety disorder. This disorders can appear in different forms such as phobias, panic, obsessive-compulsive disorder and post-traumatic stress disorder.[L5983] Insomnia is a sleep disorder that directly affects the quality of life of the individual. It is characterized by the complication either to fall asleep or to stay asleep. This condition can be occasional or chronic.[L5986] Pruritus is defined as an unpleasant skin reaction that provokes the urge to scratch. It can be localized or generalized and it can appear in an acute or chronic manner.[L5989] Neuropathic pain occurs due to the damage or dysfunction of the peripheral or central nervous system rather than stimulation of the pain receptors.[L5992]"
Doxercalciferol,"Doxercalciferol is indicated for the treatment of secondary hyperparathyroidism in patients with chronic kidney disease on dialysis, as well as for the treatment of secondary hyperparathyroidism in patients with Stage 3 or Stage 4 chronic kidney disease."
Doxorubicin,"Doxorubicin is indicated for the treatment of neoplastic conditions like acute lymphoblastic leukemia, acute myeloblastic leukemia, Hodgkin and non-Hodgkin lymphoma, metastatic breast cancer, metastatic Wilms’ tumor, metastatic neuroblastoma, metastatic soft tissue and bone sarcomas, metastatic ovarian carcinoma, metastatic transitional cell bladder carcinoma, metastatic thyroid carcinoma, metastatic gastric carcinoma, and metastatic bronchogenic carcinoma.[L45231] Doxorubicin is also indicated for use as a component of adjuvant therapy in women with evidence of axillary lymph node involvement following resection of primary breast cancer.[L45231] For the liposomal formulation, doxorubicin is indicated for the treatment of ovarian cancer that has progressed or recurred after platinum-based chemotherapy, AIDS-Related Kaposi's Sarcoma after the failure of prior systemic chemotherapy or intolerance to such therapy, and multiple myeloma in combination with bortezomib in patients who have not previously received bortezomib and have received at least one prior therapy.[L45226]"
Doxycycline,"Doxycycline is indicated for the treatment of various infections by gram-positive and gram-negative bacteria, aerobes and anaerobes, as well other types of bacteria, including: - Early Lyme disease (as evidenced by erythema migraines) due to _Borrelia burgdorferi_ in adults and pediatric patients 8 years of age and older weighing 45 kg and above [L42875] - Rickettsial infections,[L42870] such as Rocky Mountain spotted fever, typhus fever and the typhus group, Q fever, rickettsialpox, and tick fevers [L42880] - Sexually transmitted infections [L42870] - Respiratory tract infections [L42870] caused by _Mycoplasma pneumoniae_ and _Haemophilus influenzae_ [L42880] - Specific bacterial infections [L42870] after indicative bacteriologic testing. These include infections caused by _Escherichia coli_, _Enterobacter aerogenes_, _Shigella_ species, _Acinetobacter_ species, and _Klebsiella_ species [L42880] - Ophthalmic infections,[L42870] such as inclusion conjunctivitis caused by _Chlamydia trachomatis_ [L42880] - Anthrax, including inhalational anthrax (post-exposure) [L42870] - Alternative treatment for selected infections when [penicillin] is contraindicated [L42870] - Adjunctive therapy in acute intestinal amebiasis and severe acne [L42870, L42880] - Lymphogranuloma venereum caused by _Chlamydia trachomatis_ [L42880] - Psittacosis (ornithosis) caused by _Chlamydophila psittaci_ [L42880] - Trachoma caused by _Chlamydia trachomatis_, although the infectious agent is not always eliminated, as judged by immunofluorescence [L42880] - Uncomplicated urethral, endocervical, or rectal infections in adults caused by _Chlamydia trachomatis_ [L42880] - Nongonococcal urethritis caused by _Ureaplasma urealyticum_ [L42880] - Relapsing fever due to _Borrelia recurrentis_ [L42880] - Prophylaxis of malaria due to _Plasmodium falciparum_ in short-term travelers (<4 months) to areas with chloroquine and/or pyrimethamine-sulfadoxine resistant strains [L42870, L42880] It is also used to treat infections caused by the following gram-negative microorganisms: - Chancroid caused by _Haemophilus ducreyi_ [L42880] - Plague due to _Yersinia pestis_ [L42880] - Tularemia due to _Francisella tularensis_ [L42880] - Cholera caused by _Vibrio cholerae_ [L42880] - Campylobacter fetus infections caused by _Campylobacter fetus_ [L42880] - Brucellosis due to _Brucella_ species (in conjunction with [streptomycin]) [L42880] - Bartonellosis due to _Bartonella bacilliformis_ [L42880] - Granuloma inguinale caused by _Klebsiella granulomatis_ [L42880]"
Doxylamine,"Used alone as a short-term sleep aid, in combination with other drugs as a night-time cold and allergy relief drug. Also used in combination with Vitamin B6 (pyridoxine) to prevent morning sickness in pregnant women."
Drometrizole trisiloxane,"Drometrizole trisiloxane is used as an active ingredient in various sunscreens for the indication of protecting the skin by absorbing the damaging UV radiation of sunlight [A33069, L2780, L2781, L2782, L2783, F81, F82]."
Dronabinol,"Dronabinol is indicated for the treatment of anorexia associated with weight loss in patients with AIDS, and nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments.[L43438]"
Dronedarone,Dronedarone is indicated for the management of atrial fibrillation (AF) in patients in sinus rhythm with a history of paroxysmal or persistent AF to reduce the risk of hospitalization.[L8699]
Droperidol,Droperidol is used to produce tranquilization and to reduce the incidence of nausea and vomiting in surgical and diagnostic procedures.
Drospirenone,"Drospirenone, in combination with ethinyl estradiol or estetrol, is indicated as an oral contraceptive for the prevention of pregnancy.[L7973,L33174] In addition to its use for contraceptive effects, this combination is used to treat moderate acne vulgaris and the symptoms of premenstrual dysphoric disorder.[L7973,L7976] The drug has approved indications for combination with estrogens for the treatment of menopause-associated symptoms, such as vasomotor symptoms and vulvovaginal atrophy. Drospirenone combined with estrogen may also may aid in the prevention of osteoporosis in women who have been post-menopausal for at least a year and are not candidates for other therapies.[L7997,L8075] It can sometimes be found in preparations containing estrogen and folic acid for folic acid replenishment during oral contraception.[L8078] When used for the treatment of acne vulgaris, drospirenone-containing contraceptives should only be used in women ≥14 years of age who have experienced menarche, desire oral contraception, and do not have any contraindications to oral contraceptives.[L7976] Off-label uses for this drug include the treatment of menstrual irregularities, dysmenorrhea, hirsutism, and endometriosis.[A2439,A182576]"
Drostanolone propionate,"For use in females, for palliation of androgenresponsive recurrent mammary cancer in women who are more than one year but less than five years postmenopausal."
Drotaverine,"Drotaverine is used to alleviate gastrointestinal and genitourinary smooth muscle spasms, such as cholecystitis and gallbladder disorders.[L22689]"
Drotrecogin alfa,For reduction of mortality in patients with severe sepsis.
Droxidopa,"For treatment of neurogenic orthostatic hypotension (NOH) associated with various disorders including Multiple System Atrophy, Familial Amyloid Polyneuropathy, hemodialysis induced hypotension and Parkinson's Disease. Also investigated for use/treatment in neurologic disorders, nephropathy, blood (blood forming organ disorders, unspecified), and dizzy/fainting spells."
Dulaglutide,Dulaglutide is indicated as an adjunct to diet and exercise to improve glycemic control in adults and pediatric patients ≥10 years of age with type 2 diabetes mellitus.[L30380] It is also indicated to reduce the risk of major adverse cardiovascular events in adults with type 2 diabetes mellitus who have established cardiovascular disease or multiple cardiovascular risk factors.[L30380]
Duloxetine,**Indicated** for: 1) Management of Major Depressive Disorder.[label] 2) Management of Generalized Anxiety Disorder.[label] 3) Management of diabetic peripheral neuropathy.[label] 4) Management of fibromyalgia.[label] 5) Management of chronic musculoskeletal pain.[label] 6) Management of osteoarthritis of the knee in adults.[L6364] 7) Management of chronic lower back pain in adults.[L6364] 8) Management of stress urinary incontinence in adult women.[L6367] **Off-label** uses include: 1) Management of chemotherapy-induced peripheral neuropathy.[A178603] 2) Management of stress urinary incontinence in adult men after prostatectomy until recovery is complete.[L6370]
Dupilumab,"In the US, dupilumab is indicated for the treatment of patients aged six months and older with moderate-to-severe atopic dermatitis whose disease is not adequately controlled with topical prescription therapies or when those therapies are not advisable.[L42005] In Europe and Canada, the drug for this indication is approved for patients aged six years and older.[L7192,L41439] In Europe, patients six to 11 years of age should have severe atopic dermatitis and be candidates for systemic therapy.[L7192] Dupilumab can be used with or without topical corticosteroids for this condition.[L7186,L41439] Dupilumab is indicated as an add-on maintenance treatment of patients aged six years and older with moderate-to-severe asthma characterized by an eosinophilic phenotype or with oral corticosteroid dependent asthma. However, the drug is not indicated for relief of acute bronchospasm or status asthmaticus.[L7186,L7192,L41439] Dupilumab is indicated as an add-on maintenance treatment in adult patients with inadequately controlled chronic rhinosinusitis with nasal polyposis.[L7186] In Canada and Europe, it is used with intranasal corticosteroids.[L7192,L41439] In the US and Europe, dupilumab is also indicated for the treatment of adults and children aged 12 years and older weighing at least 40 kg with eosinophilic esophagitis (EoE), and adults with prurigo nodularis.[L7192,L41900,L43297]"
Durlobactam,"In combination with [sulbactam], durlobactam is indicated in adults for the treatment of hospital-acquired bacterial pneumonia and ventilator-associated bacterial pneumonia (HABP/VABP), caused by susceptible isolates of _Acinetobacter baumannii-calcoaceticus_ complex.[L47336]"
Durvalumab,"Durvalumab is indicated for the treatment of adults with the following conditions: **Non-small cell lung cancer (NSCLC)** - unresectable Stage III NSCLC whose disease has not progressed following concurrent platinum-based chemotherapy and radiation therapy.[L44121] - metastatic NSCLC with no sensitizing epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) genomic tumour aberrations, in combination with [tremelimumab] and platinum-based chemotherapy.[L44121, L46188] - in combination with platinum-containing chemotherapy as neoadjuvant treatment, followed by durvalumab continued as a single agent as adjuvant treatment after surgery, is indicated for the treatment of adult patients with resectable (tumours ≥ 4 cm and/or node-positive) NSCLC and no known epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) rearrangements.[L51209] **Small cell lung cancer (SCLC)** - extensive-stage SCLC in combination with [etoposide] and either [carboplatin] or [cisplatin] as first-line therapy.[L12624] - limited-stage SCLC in adults whose disease has not progressed following concurrent platinum-based chemotherapy and radiation therapy.[L51928] **Biliary tract cancer** - locally advanced or metastatic biliary tract cancer (BTC) in combination with [gemcitabine] and cisplatin.[L43055] **Hepatocellular carcinoma** - unresectable hepatocellular carcinoma (uHCC) alone or in combination with [tremelimumab].[L12627, L43647, L46188] **Endometrial cancer** - in combination with carboplatin and paclitaxel is indicated for the first-line treatment of adults with primary advanced or recurrent endometrial cancer who are candidates for systemic therapy. This is followed by maintenance treatment with either durvalumab as monotherapy or in combination with [olaparib] in endometrial cancer that is mismatch repair deficient (dMMR).[L12627]"
Dutasteride,"Indicated for the treatment of symptomatic benign prostatic hyperplasia (BPH) in men with an enlarged prostate gland to improve symptoms, and reduce the risk of acute urinary retention and the need for BPH-related surgery alone or in combination with [tamsulosin].[L10568]"
Duvelisib,Duvelisib is indicated for the treatment of adult patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) after at least two prior lines of systemic therapy.[L51459]
Dyclonine,"Used to provide topical anesthesia of accessible mucous membranes prior to examination, endoscopy or instrumentation, or other procedures involving the esophagus, larynx, mouth, pharynx or throat, respiratory tract or trachea, urinary tract, or vagina. Also used to suppress the gag reflex and/or other laryngeal and esophageal reflexes to facilitate dental examination or procedures (including oral surgery), endoscopy, or intubation. Also used for relief of canker sores, cold sores or fever blister."
Dydrogesterone,Used to treat irregular duration of cycles and irregular occurrence and duration of periods caused by progesterone deficiency. Also used to prevent natural abortion in patients who have a history of habitual abortions.
